field,nonempty,total_rows,coverage_pct,unique_nonempty,predominant_type,avg_len_nonempty,example_value,KEEP_candidate
collIsChildOfColl_fs,10,10,100.0,10,list,614.6,"[""LAMA_UMR8050_FacetSep_Laboratoire d'Analyse et de Mathématiques Appliquées_JoinSep_LAMA_UMR8050_FacetSep_Université Paris-Est Créteil Val-de-Marne"", ""CV_LAMA_UMR8050_FacetSep_CV des membres de LAMA UMR 8050_JoinSep_CV_LAMA_UMR8050_FacetSep_CV des membres de l'Université de Marne-la-vallée"", ""LAMA_AHM_FacetSep_Analyse harmonique et multifractale_JoinSep_LAMA_AHM_FacetSep_Laboratoire d'Analyse et de Mathématiques Appliquées"", ""UPEC_FacetSep_Université Paris-Est Créteil Val-de-Marne_JoinSep_UPEC_FacetSep_CV des membres de l'UPEC"", ""IRMAAGA_FacetSep_Arithmétique et géométrie algébrique_JoinSep_IRMAAGA_FacetSep_Institut de Recherche Mathématique Avancée""]",YES
collIsParentOfCategoryColl_fs,10,10,100.0,10,list,475.3,"[""UPEC_FacetSep_UNIV_JoinSep_LAMA_UMR8050_FacetSep_Laboratoire d'Analyse et de Mathématiques Appliquées"", ""CV_UNIV-MLV_FacetSep_AUTRE_JoinSep_CV_LAMA_UMR8050_FacetSep_CV des membres de LAMA UMR 8050"", ""LAMA_UMR8050_FacetSep_LABO_JoinSep_LAMA_AHM_FacetSep_Analyse harmonique et multifractale"", ""CV_UPEC_FacetSep_AUTRE_JoinSep_UPEC_FacetSep_Université Paris-Est Créteil Val-de-Marne"", ""IRMA_FacetSep_LABO_JoinSep_IRMAAGA_FacetSep_Arithmétique et géométrie algébrique""]",YES
collIsParentOfColl_fs,10,10,100.0,10,list,623.7,"[""UPEC_FacetSep_Université Paris-Est Créteil Val-de-Marne_JoinSep_LAMA_UMR8050_FacetSep_Laboratoire d'Analyse et de Mathématiques Appliquées"", ""CV_UNIV-MLV_FacetSep_CV des membres de l'Université de Marne-la-vallée_JoinSep_CV_LAMA_UMR8050_FacetSep_CV des membres de LAMA UMR 8050"", ""LAMA_UMR8050_FacetSep_Laboratoire d'Analyse et de Mathématiques Appliquées_JoinSep_LAMA_AHM_FacetSep_Analyse harmonique et multifractale"", ""CV_UPEC_FacetSep_CV des membres de l'UPEC_JoinSep_UPEC_FacetSep_Université Paris-Est Créteil Val-de-Marne"", ""IRMA_FacetSep_Institut de Recherche Mathématique Avancée_JoinSep_IRMAAGA_FacetSep_Arithmétique et géométrie algébrique""]",YES
collNameCode_fs,10,10,100.0,10,list,879.2,"[""CNRS - Centre national de la recherche scientifique_FacetSep_CNRS"", ""Université de Marne la Vallée_FacetSep_UNIV-MLV"", ""Institut de Recherche Mathématique Avancée_FacetSep_IRMA"", ""CNRS-INSMI - INstitut des Sciences Mathématiques et de leurs Interactions_FacetSep_INSMI"", ""Université de Strasbourg_FacetSep_UNIV-STRASBG"", ""Laboratoire d'Analyse et de Mathématiques Appliquées_FacetSep_LAMA_UMR8050"", ""CV des membres de l'Université de Marne-la-vallée_FacetSep_CV_UNIV-MLV"", ""CV des membres de LAMA UMR 8050_FacetSep_CV_LAMA_UMR8050"", ""Analyse harmonique et multifractale_FacetSep_LAMA_AHM"", ""Université Paris-Est Créteil Val-de-Marne_FacetSep_UPEC"", ""CV des membres de l'UPEC_FacetSep_CV_UPEC"", ""Réseau de recherche en Théorie des Systèmes Distribués, Modélisation, Analyse et Contrôle des Systèmes_FacetSep_TDS-MACS"", ""Archive ouverte du site Alsace_FacetSep_SITE-ALSACE"", ""Arithmétique et géométrie algébrique_FacetSep_IRMAAGA"", ""Université Gustave Eiffel_FacetSep_UNIV-EIFFEL"", ""Université Paris-Est Marne-la-Vallée_FacetSep_UPEM-UNIVEIFFEL"", ""UNIVOAK_FacetSep_UNIVOAK""]",YES
collNameId_fs,10,10,100.0,10,list,807.6,"[""CNRS - Centre national de la recherche scientifique_FacetSep_264"", ""Université de Marne la Vallée_FacetSep_311"", ""Institut de Recherche Mathématique Avancée_FacetSep_544"", ""CNRS-INSMI - INstitut des Sciences Mathématiques et de leurs Interactions_FacetSep_1298"", ""Université de Strasbourg_FacetSep_1314"", ""Laboratoire d'Analyse et de Mathématiques Appliquées_FacetSep_1901"", ""CV des membres de l'Université de Marne-la-vallée_FacetSep_2162"", ""CV des membres de LAMA UMR 8050_FacetSep_2249"", ""Analyse harmonique et multifractale_FacetSep_2298"", ""Université Paris-Est Créteil Val-de-Marne_FacetSep_2451"", ""CV des membres de l'UPEC_FacetSep_2706"", ""Réseau de recherche en Théorie des Systèmes Distribués, Modélisation, Analyse et Contrôle des Systèmes_FacetSep_4468"", ""Archive ouverte du site Alsace_FacetSep_6324"", ""Arithmétique et géométrie algébrique_FacetSep_8134"", ""Université Gustave Eiffel_FacetSep_9516"", ""Université Paris-Est Marne-la-Vallée_FacetSep_9527"", ""UNIVOAK_FacetSep_12694""]",YES
collName_s,10,10,100.0,10,list,587.5,"[""CNRS - Centre national de la recherche scientifique"", ""Université de Marne la Vallée"", ""Institut de Recherche Mathématique Avancée"", ""CNRS-INSMI - INstitut des Sciences Mathématiques et de leurs Interactions"", ""Université de Strasbourg"", ""Laboratoire d'Analyse et de Mathématiques Appliquées"", ""CV des membres de l'Université de Marne-la-vallée"", ""CV des membres de LAMA UMR 8050"", ""Analyse harmonique et multifractale"", ""Université Paris-Est Créteil Val-de-Marne"", ""CV des membres de l'UPEC"", ""Réseau de recherche en Théorie des Systèmes Distribués, Modélisation, Analyse et Contrôle des Systèmes"", ""Archive ouverte du site Alsace"", ""Arithmétique et géométrie algébrique"", ""Université Gustave Eiffel"", ""Université Paris-Est Marne-la-Vallée"", ""UNIVOAK""]",YES
comment_s,10,10,100.0,2,scalar,3.5,25 pages,YES
conferenceEndDateD_i,10,10,100.0,4,scalar,3.2,,YES
conferenceEndDateM_i,10,10,100.0,4,scalar,3.0,,YES
conferenceEndDateY_i,10,10,100.0,3,scalar,3.9,,YES
